code,freq,code_subclass,freq_subclass
A74K10,1,A74K,2
A62K31,2,A62K,2
B37B37,2,B37B,2
B54G17,1,B54G,2
A26B7,1,A26B,2
B20B5,1,B20B,2
A51B2018,1,A51B,2
H04C1,1,H04C,2
A16L15,1,A16L,2
A60K31,1,A60K,2
B47C47,2,B47C,2
B14J11,1,B14J,2
A63M16,1,A63M,2
B31K26,1,B31K,2
F01I1,2,F01I,2
G28D7,2,G28D,2
H20K7,1,H20K,2
H10H9,2,H10H,2
H02D2221,1,H02D,2
C60C1,2,C60C,2
A61O11,2,A61O,2
A08L3,1,A08L,2
G16F17,2,G16F,2
B01M17,1,B01M,2
F47C27,2,F47C,2
B69N2,2,B69N,2
H06B1,2,H06B,2
E04N2,1,E04N,2
A68B19,2,A68B,2
B02Q23,1,B02Q,2
D02F9,2,D02F,2
B65Q15,1,B65Q,2
F21U2101,1,F21U,2
G12G1,2,G12G,2
G02S5,2,G02S,2
D50C17,1,D50C,2
C33C10,2,C33C,2
B65K15,2,B65K,2
B61Q3,2,B61Q,2
A60T2270,2,A60T,2
D12F3,2,D12F,2
G20B26,2,G20B,2
C98K11,2,C98K,2
A10B12,2,A10B,2
D06D1,2,D06D,2
H06G3,2,H06G,2
H07P1,2,H07P,2
B62F1,2,B62F,2
H06W28,1,H06W,2
A26C3,2,A26C,2
F32D14,2,F32D,2
B60E1,2,B60E,2
C37K2319,2,C37K,2
F21F11,1,F21F,2
B13F1,2,B13F,2
H07L1,2,H07L,2
Y02N30,1,Y02N,2
A44R22,2,A44R,2
A24J10,1,A24J,2
G04H12,1,G04H,2
F02W2746,2,F02W,2
E23D57,2,E23D,2
G61F1,2,G61F,2
F24Q7,1,F24Q,2
B62S5,2,B62S,2
G66F11,1,G66F,2
B94C5,2,B94C,2
B15H23,2,B15H,2
H21V23,2,H21V,2
H09L9,2,H09L,2
G60J3,2,G60J,2
F03F7,2,F03F,2
F15J15,2,F15J,2
G03N21,2,G03N,2
C06M15,2,C06M,2
H63F2300,2,H63F,2
B52B7,2,B52B,2
F02J5,1,F02J,2
C19L3,2,C19L,2
G10J9,1,G10J,2
F61L21,1,F61L,2
H04E76,1,H04E,2
B29V65,2,B29V,2
Y05B10,1,Y05B,2
F06B2003,2,F06B,2
A05B6,1,A05B,2
G08J7,1,G08J,2
B61R22,1,B61R,2
B23J2099,1,B23J,2
B92Y15,1,B92Y,2
B88Y99,1,B88Y,2
D07D11,1,D07D,2
B26P6,1,B26P,2
G22B15,1,G22B,2
G12Q1,1,G12Q,2
Y01C10,1,Y01C,2
C06E1,1,C06E,2
G30G15,1,G30G,2
B26H20,1,B26H,2
G11V7,1,G11V,2
F04N5,1,F04N,2
G04M2250,1,G04M,2
F05F15,1,F05F,2
D03B1,1,D03B,2
F12Y2105,1,F12Y,2
G05S1,1,G05S,2
F61C29,1,F61C,2
B06Y2305,1,B06Y,2
H07N7,1,H07N,2
F21C33,1,F21C,2
A04N43,1,A04N,2
C11G13,1,C11G,2
C90C1,1,C90C,2
G60W20,1,G60W,2
Y10D707,1,Y10D,2
E47K11,1,E47K,2
B12Q17,1,B12Q,2
A64F2,1,A64F,3
B06H1,3,B06H,3
B45B5,3,B45B,3
G98G1,3,G98G,3
F09G3,1,F09G,3
A46L13,1,A46L,3
H07C5,1,H07C,3
C61K2035,1,C61K,3
B04J14,1,B04J,3
B63D35,1,B63D,3
B42L1,1,B42L,3
F23P19,1,F23P,3
C06K7,1,C06K,3
F60T8,1,F60T,3
B69B3,1,B69B,3
C12K7,1,C12K,3
G02M3,1,G02M,3
C80K9,1,C80K,3
B54H2402,1,B54H,3
G06S11,1,G06S,3
G65G47,1,G65G,3
B81D7,1,B81D,3
H02F38,1,H02F,3
B85J19,1,B85J,3
C12L11,3,C12L,3
A51N2005,3,A51N,3
B52K21,3,B52K,3
G02R31,3,G02R,3
H05M15,1,H05M,3
B23L37,1,B23L,3
D02D7,1,D02D,3
A04W74,1,A04W,3
B02Y10,1,B02Y,3
A43K5,1,A43K,3
B26J1,1,B26J,3
F06H41,1,F06H,3
A10N43,1,A10N,3
H94L9,1,H94L,3
B30D15,1,B30D,3
B26L1,1,B26L,3
G05Q20,1,G05Q,3
A32C15,3,A32C,3
B46C11,1,B46C,3
B10F3,3,B10F,3
G02H2001,3,G02H,3
B56G47,3,B56G,3
B36B29,1,B36B,3
G29C67,3,G29C,3
B47F7,3,B47F,3
B32F1,3,B32F,3
H21S48,3,H21S,3
G02T19,1,G02T,3
B08L23,1,B08L,3
A63E2300,3,A63E,3
G06W99,1,G06W,3
A51K9,1,A51K,3
H24L67,3,H24L,3
C12S3,3,C12S,3
C70D403,1,C70D,3
B81V2201,1,B81V,3
A45J45,3,A45J,3
G06A20,3,G06A,3
B01R16,1,B01R,3
G08S3,1,G08S,3
A42D19,1,A42D,3
E04V7,1,E04V,3
G16C33,1,G16C,3
B51D81,1,B51D,3
F09F2007,1,F09F,3
G92F2001,1,G92F,3
C21P7,1,C21P,3
H94W52,1,H94W,3
D65D39,1,D65D,3
B67G1,1,B67G,3
A64K9,1,A64K,3
H10S5,1,H10S,3
H40R5,1,H40R,3
F61H59,1,F61H,3
F15H57,1,F15H,3
B11J23,1,B11J,3
H23H1,1,H23H,4
F61D3,4,F61D,4
C70C59,1,C70C,4
H20P7,1,H20P,4
A04D17,4,A04D,4
A81B6,1,A81B,4
H09K1,1,H09K,4
G11G19,2,G11G,4
A31B3,4,A31B,4
A29C66,4,A29C,4
E21E33,1,E21E,4
C04D413,1,C04D,4
Y01E60,1,Y01E,4
A27F47,4,A27F,4
B29F3,1,B29F,4
F64C27,4,F64C,4
B34D1,4,B34D,4
A21F13,2,A21F,4
A81K31,1,A81K,4
A65B7,1,A65B,4
H20J5,1,H20J,4
G10V3,1,G10V,4
B11B5,1,B11B,4
C07N14,2,C07N,4
C06P3,1,C06P,4
A65D81,1,A65D,4
B08G1,2,B08G,4
B07J31,2,B07J,4
B02L2300,2,B02L,4
B69W20,1,B69W,4
B62P7,4,B62P,4
H02I27,1,H02I,4
G08K3,1,G08K,4
B32Y40,1,B32Y,4
H09N1,1,H09N,4
B16C3,1,B16C,4
F06C2352,1,F06C,4
F28K13,1,F28K,4
A45G3,1,A45G,4
B45D27,1,B45D,4
B20R21,2,B20R,4
B12D55,1,B12D,4
H03S2420,1,H03S,4
B28K2027,1,B28K,4
G02V5,1,G02V,4
B08D5,1,B08D,4
F21D1,1,F21D,4
B01I7,1,B01I,4
H03I7,4,H03I,4
G63G2008,4,G63G,4
B20W20,4,B20W,4
G10R21,1,G10R,4
G62J2700,1,G62J,4
F41V15,1,F41V,4
H04P5,1,H04P,4
C21N15,1,C21N,4
B15B43,1,B15B,4
B42J3,1,B42J,5
G02D13,1,G02D,5
B50R5,1,B50R,5
B32P11,1,B32P,5
Y01B210,1,Y01B,5
D10D2321,2,D10D,5
G09T13,1,G09T,5
Y02Y70,1,Y02Y,5
F21M2260,1,F21M,5
A60M1,5,A60M,5
G04K9,5,G04K,5
B64H35,5,B64H,5
A34B13,1,A34B,5
G03T2210,1,G03T,5
E12B34,1,E12B,5
G60K9,5,G60K,5
B56H7,1,B56H,5
C01V2203,5,C01V,5
D01P1,5,D01P,5
H92J7,5,H92J,5
C07P21,1,C07P,5
G21L5,1,G21L,5
B42M1,1,B42M,5
D60P1,2,D60P,5
A32B38,1,A32B,5
A94K2800,1,A94K,5
H40B17,1,H40B,5
B02J4,1,B02J,5
F61N2210,1,F61N,5
F20M63,1,F20M,5
C02D2101,1,C02D,5
H08B13,1,H08B,5
E50D11,1,E50D,5
A61A39,1,A61A,5
E07D11,1,E07D,5
B08J19,1,B08J,5
G02J5,1,G02J,5
Y02J70,1,Y02J,5
H10F27,1,H10F,5
B96H2511,1,B96H,5
F11C2229,1,F11C,5
A36F2009,1,A36F,5
Y02S10,1,Y02S,6
B02F2003,1,B02F,6
B47L19,1,B47L,6
E04E2015,1,E04E,6
H08F10,1,H08F,6
B28F3,2,B28F,6
B61I29,1,B61I,6
G04Q40,1,G04Q,6
F16R1,2,F16R,6
A06F17,1,A06F,6
G07K5,1,G07K,6
F14C2250,1,F14C,6
G03M17,1,G03M,6
C80L29,1,C80L,6
B24F17,1,B24F,6
A10M1,6,A10M,6
G04S19,6,G04S,6
B22B5,1,B22B,6
G96Q50,1,G96Q,6
A16H7,1,A16H,6
H04D1,1,H04D,6
G08Q40,1,G08Q,6
F61M13,1,F61M,6
A91M25,1,A91M,6
G08D19,1,G08D,6
F01F5,1,F01F,6
H09G2300,1,H09G,6
G11N35,1,G11N,6
G10M1,1,G10M,6
A41J58,1,A41J,6
B28Y40,1,B28Y,6
B68F3,1,B68F,6
B32C3,1,B32C,6
G60H2001,1,G60H,6
G21V29,1,G21V,6
G03Q10,1,G03Q,6
G10S13,1,G10S,7
G02K2001,2,G02K,7
A16F2002,7,A16F,7
F12K9,7,F12K,7
B47J46,1,B47J,7
C10I9,1,C10I,7
A01P21,1,A01P,7
A64D13,1,A64D,7
C12B11,1,C12B,7
C10H21,1,C10H,7
Y20T29,1,Y20T,7
H02W4,1,H02W,7
A17B17,1,A17B,7
G03K15,1,G03K,7
B38B2736,1,B38B,7
B66G1,1,B66G,7
B32K3,1,B32K,7
G08N29,1,G08N,7
B62C25,1,B62C,7
F10D25,1,F10D,7
B60I2270,1,B60I,7
B06N3,1,B06N,7
A62N1,7,A62N,7
Y20E10,1,Y20E,8
F17B1,8,F17B,8
B16J15,8,B16J,8
B65J5,1,B65J,8
A46N9,8,A46N,8
A04H9,1,A04H,8
B06F2201,1,B06F,8
A61I26,1,A61I,8
B46B11,1,B46B,8
G90G2320,1,G90G,8
A06B3,1,A06B,8
F61F7,1,F61F,8
F25F30,1,F25F,8
H94N13,1,H94N,8
B06Q11,1,B06Q,8
C32C21,2,C32C,8
B16H35,1,B16H,8
B41G3,2,B41G,9
A37J37,9,A37J,9
B06P1,9,B06P,9
G60R25,2,G60R,9
H30M1,4,H30M,9
B32D33,1,B32D,9
A62M3,1,A62M,9
A60B6,1,A60B,9
B26C19,1,B26C,9
H06K2201,1,H06K,9
C09L95,1,C09L,9
F02L1,1,F02L,9
H40W4,1,H40W,9
C01N33,1,C01N,9
G08L1,1,G08L,10
G61B3,10,G61B,10
H03W68,1,H03W,10
G04W72,1,G04W,10
G06R19,1,G06R,10
Y04B60,10,Y04B,10
B10L2400,1,B10L,10
C01M15,1,C01M,10
G05K2009,1,G05K,10
C29C45,1,C29C,10
G09Q2220,1,G09Q,10
H01W64,1,H01W,10
B18B3,2,B18B,11
G10N21,1,G10N,11
G19L2015,5,G19L,11
G01I9,1,G01I,11
A62F2300,2,A62F,11
D62D11,1,D62D,11
H91L2,1,H91L,11
B01C1,1,B01C,11
H40N19,1,H40N,12
C01K11,2,C01K,12
H05R5,1,H05R,12
B06K7,1,B06K,12
B20C67,1,B20C,12
B06C19,1,B06C,13
B26K2067,1,B26K,13
A64B3,1,A64B,13
G60T7,1,G60T,13
B01N2300,1,B01N,13
B41B5,1,B41B,13
B42K21,1,B42K,13
B32M2270,1,B32M,13
B06D5,1,B06D,13
A60N1,13,A60N,13
D06J1,13,D06J,13
F12V9,1,F12V,14
F16I1,1,F16I,14
D06G3,7,D06G,14
B12C35,1,B12C,14
D02H9,1,D02H,14
C09H7,1,C09H,14
C03G5,1,C03G,14
A51F15,1,A51F,14
F06D41,1,F06D,14
G02N1,1,G02N,15
B01K3,2,B01K,15
E04M1,15,E04M,15
C12J1,15,C12J,15
Y10Y403,1,Y10Y,15
C06Q20,1,C06Q,15
F04M63,1,F04M,15
H40L2463,1,H40L,15
H04G25,1,H04G,16
H05J35,1,H05J,16
H25K7,3,H25K,16
C07L51,1,C07L,16
H03N13,1,H03N,16
C08I7,1,C08I,16
A04B9,1,A04B,16
C12D7,1,C12D,17
G06H9,1,G06H,17
B57D1,18,B57D,18
G96F7,1,G96F,18
C02C3,1,C02C,18
C01L10,1,C01L,18
G60G7,1,G60G,19
C03F2101,1,C03F,19
C01J10,1,C01J,19
H10M2008,1,H10M,19
B06J7,2,B06J,19
C08D93,1,C08D,19
C02B2215,1,C02B,19
G06D17,1,G06D,19
B02D1,1,B02D,20
H05L49,1,H05L,20
B56D77,1,B56D,20
A16M39,1,A16M,20
